English,Part_of_Speech,Is_Cognate_EN_PT,Is_Cognate_EN_SP,Is_Cognate_PT_SP,Is_False_Cognate_EN_PT,Is_False_Cognate_EN_SP,Is_False_Cognate_PT_SP,Similar_Word_PT,Similar_Word_SP,Translation_PT,Translation_SP,Comments,Similar_No_Accents_PT,Similar_No_Accents_SP,SOLAR_PT_EN,SOLAR_SP_EN,SOLAR_PT_SP,total_freq,freq_per_million.x,wl,coca_total_freq,coca_freq_per_million,freq,PT_freq_per_million,SP_freq_per_million,OLD20
conductor,noun,yes,yes,yes,no,no,no,condutor,conductor,condutor,conductor,NA,condutor,conductor,0.92,1,0.92,575,6.4073594551832285,9,NA,NA,6395,7.341147851867984,21.78571429,2.85
confusion,noun,yes,yes,yes,no,no,no,confusão,confusión,confusão,confusión,NA,confusao,confusion,0.8,1,0.8,2762,30.7776118525497,9,8884,21.419006375669582,18104,20.782508320597024,28.39285714,2.35
construction,noun,yes,yes,yes,no,no,no,construção,construcción,construção,construcción,NA,construcao,construccion,0.81,0.93,0.81,6181,68.87632833476094,12,27335,65.90370770811887,206942,237.55931489621022,61.60714286,2.35
continent,noun,yes,yes,yes,no,no,no,continente,continente,continente,continente,NA,continente,continente,0.83,0.83,1,1505,16.770566921827406,9,39,0.09402760565636128,17234,19.783790786410137,22.14285714,2.4
control,noun,yes,yes,yes,no,no,no,controle ,control,controle,control ,NA,controle ,control,0.8,1,NA,27960,311.5648180294314,7,16108,38.83581210032481,NA,NA,88.21428571,2.85
crisis,noun,yes,yes,yes,no,no,no,crise,crisis,crise ,crisis,NA,crise,crisis,0.71,1,0.71,5708,63.60557873075803,6,31545,76.05386719051069,119677,137.3833544125105,137.1428571,2
culture,noun,yes,yes,yes,no,no,no,cultura,cultura,cultura,cultura,NA,cultura,cultura,0.78,0.78,1,8410,93.71459655320166,7,57736,139.1994317993763,214336,246.04726598561007,145.7142857,2.3
debate,noun,yes,yes,yes,no,no,no,debate,debate,debate,debate,NA,debate,debate,1,1,1,6706,74.7265260981891,6,33398,80.52138394131164,74874,85.95169730426325,38.21428571,1.8
decision,noun,yes,yes,yes,no,no,no,decisão,decisión,decisão,decisión ,NA,decisao,decision,0.78,1,0.78,15787,175.91823255474372,8,57132,137.74320939382648,144920,166.3610862693836,91.42857143,2.4
dimension,noun,yes,yes,yes,no,no,no,dimensão,dimensión,dimensão,dimensión ,NA,dimensao,dimension,0.8,1,0.8,1551,17.283155678242064,9,NA,NA,59713,68.54760933207082,25.35714286,2.7
direction,noun,yes,yes,yes,no,no,no,direção,dirección,direção,dirección ,NA,direcao,direccion,0.75,0.91,0.75,8284,92.31054908997889,9,31655,76.31907325774658,115783,132.91323248363264,79.82142857,2.3
director,noun,yes,yes,yes,no,no,no,diretor,director,diretor,director,NA,diretor,director,0.91,1,0.91,11745,130.87728139326435,8,55,0.1326030336179454,107682,123.6136799038074,133.2142857,2.4
disaster,noun,yes,yes,yes,no,no,no,desastre ,desastre,desastre,desastre,NA,desastre ,desastre,0.75,0.75,NA,2660,29.641002001369372,8,12866,31.019466009608827,NA,NA,19.10714286,2.85
disco,noun,yes,yes,yes,no,no,no,disco,disco,disco,disco,"There is also disk, which shares the other meanings of disco in Spanish and Portuguese",disco,disco,1,1,1,674,7.510539604858254,5,1255,3.0257601307367543,43198,49.589195450350765,22.5,2.25
distance,noun,yes,yes,yes,no,no,no,distância,distancia,distância ,distancia ,NA,distancia,distancia,0.73,0.73,1,6443,71.79585559955747,8,29399,70.87993791516323,68699,78.86309871391377,70.71428571,2.6
division,noun,yes,yes,yes,no,no,no,divisão,división,divisão,división,NA,divisao,division,0.78,1,0.78,8507,94.79549023520647,8,16525,39.841184191573596,50949,58.486965114123834,31.25,2.5
doctor,noun,yes,yes,yes,no,no,no,doutor,doctor,doutor,doctor,NA,doutor,doctor,0.88,1,0.88,9391,104.646108945436,6,40068,96.60251547279702,11362,13.043021406243007,90.35714286,2.1
dragon,noun,yes,yes,yes,no,no,no,dragão,dragón,dragão,dragón ,NA,dragao,dragon,0.72,1,0.72,876,9.76147283954871,6,NA,NA,1607,1.8447575602739406,3.571428571,2.35
drama,noun,yes,yes,yes,no,no,no ,drama,drama,drama,drama ,NA,drama,drama,1,1,1,3450,38.44415673109937,5,11715,28.24444616062237,10842,12.446086788108316,24.82142857,1.9
editorial,noun,yes,yes,yes,no,no,no,editorial,editorial,editorial,editorial ,NA,editorial,editorial,1,1,1,1104,12.302130153951797,9,NA,NA,15707,18.030869321233844,25.53571429,3.4
elephant,noun,yes,yes,yes,no,no,no,elefante,elefante,elefante,elefante ,NA,elefante,elefante,0.62,0.62,1,830,9.248884083134051,8,NA,NA,2421,2.779189827892477,7.321428571,3.25
enigma,noun,yes,yes,yes,no,no,no,enigma,enigma,enigma,enigma,NA,enigma,enigma,1,1,1,224,2.4960843790626837,6,670,1.615346045891335,2412,2.7688582671939916,10.17857143,2.85
excursion,noun,yes,yes,yes,no,no,no,excursão,excursión,excursão,excursión,NA,excursao,excursion,0.8,1,0.8,393,4.379290897194798,9,1103,2.6592935651017053,2911,3.3416859103655514,8.75,2.75
explosion,noun,yes,yes,yes,no,no,no,explosão ,explosión,explosão,explosión ,NA,explosao ,explosion,0.8,1,NA,1635,18.21918732039057,9,8171,19.699988867131488,NA,NA,23.75,2.7
expulsion,noun,yes,yes,yes,no,no,no,expulsão,expulsión,expulsão,expulsión ,NA,expulsao,expulsion,0.8,1,0.8,390,4.345861195689493,9,1094,2.637594886873314,8585,9.85516095516601,10,2.8
extension,noun,yes,yes,yes,no,no,no,extensão,extensión,extensão,extensión ,NA,extensao,extension,0.8,1,0.8,3314,36.9286769295256,9,8683,20.934402561902182,62050,71.23037126011077,22.85714286,2.65
exterior,noun,yes,yes,yes,no,no,no,exterior,exterior,exterior,exterior,NA,exterior,exterior,1,1,1,667,7.432536968012545,8,1728,4.166146219851084,56694,65.08194469332345,84.10714286,2.75
factor,noun,yes,yes,yes,no,no,no,fator,factor,fator ,factor,NA,fator,factor,0.92,1,0.92,5987,66.71454097075129,6,27516,66.34009223693428,102820,118.03234122424801,36.78571429,1.85
family,noun,yes,yes,yes,no,no,no,família,familia,família,familia ,NA,familia,familia,0.67,0.67,1,32718,364.5843246168433,6,200973,484.5387177327153,205034,235.36902402813138,210,2.2
festival,noun,yes,yes,yes,no,no,no,festival,festival,festival,festival ,NA,festival,festival,1,1,1,2930,32.64967513684671,8,NA,NA,16689,19.158157388557434,4.821428571,3.15
final,adjective,yes,yes,yes,no,no,no,final,final,final,final,NA,final,final,1,1,1,14986,166.99250225282756,5,45388,109.42884527002376,314049,360.5129228665033,245.3571429,1.9
formula,noun,yes,yes,yes,no,no,no,fórmula,formula,fórmula,formula,NA,formula,formula,1,1,1,2451,27.3120661298332,7,7449,17.959272680365007,23615,27.108867321636033,4.821428571,2.6
funeral,noun,yes,yes,yes,no,no,no,funeral,funeral,funeral,funeral ,NA,funeral,funeral,1,1,1,2015,22.45361617772905,7,14,0.0337534994663861,1975,2.267203597723107,5,2.5
galaxy,noun,yes,yes,yes,no,no,no,galáxia,galaxia,galáxia,galaxia,NA,galaxia,galaxia,0.67,0.67,1,592,6.5967944303799495,6,9,0.021698678228391065,1257,1.4429746442217444,8.928571429,2.8
general,noun/adjective,yes,yes,yes,no,no,no,general,general,general,general,NA,general,general,1,1,1,32676,364.116308795769,7,71226,171.72333949948688,33693,38.677919401561844,277.1428571,2.2
genesis,noun,yes,yes,yes,no,no,no,gênese,génesis,gênese,génesis,NA,genese,genesis,0.75,1,0.75,564,6.2847838829971145,7,NA,NA,7731,8.874810639998653,7.142857143,2.8
multiple,adjective,yes,yes,yes,no,no,no,múltiplo,múltiple,múltiplo,múltiple ,NA,multiplo,multiple,0.8,1,0.8,2376,26.47632359220061,8,22123,53.33776204963284,4183,4.801879822418105,7.5,3.15
music,noun,yes,yes,yes,no,no,no,música,música,música,música,NA,musica,musica,0.75,0.75,1,14226,158.52364453815062,5,107695,259.6487946451751,94040,107.95332978728149,106.4285714,2
musical,noun/adjective,yes,yes,yes,no,no,no,musical,musical,musical,musical,NA,musical,musical,1,1,1,2961,32.99511538573485,7,17671,42.60414921932206,28192,32.363039912410045,14.28571429,2.5
nostalgia,noun,yes,yes,yes,no,no,no,nostalgia,nostalgia,nostalgia,nostalgia,NA,nostalgia,nostalgia,1,1,1,486,5.415611643859216,9,NA,NA,2439,2.7998529492894466,27.32142857,4.3
object,noun,yes,yes,yes,no,no,no,objeto,objeto,objeto,objeto,NA,objeto,objeto,0.72,0.72,1,6034,67.23827296100104,6,15954,38.46452360619456,113494,130.2855722126513,96.96428571,2.45
observatory,noun,yes,yes,yes,no,no,no,observatório,observatorio,observatório,observatorio ,NA,observatorio,observatorio,0.79,0.79,1,220,2.451511443722279,11,NA,NA,734,0.8425961725208914,2.321428571,4.05
occasion,noun,yes,yes,yes,no,no,no,ocasião,ocasión,ocasião,ocasión ,NA,ocasiao,ocasion,0.69,0.97,0.75,5037,56.12846882740508,8,8847,21.329800698508418,42680,48.994556734593516,107.5,2.7
ocean,noun,yes,yes,yes,no,no,no,oceano,océano,oceano,océano ,NA,oceano,oceano,0.75,0.75,1,1925,21.45072513256994,5,17884,43.11768460406064,5134,5.893581402891357,18.21428571,1.95
opera,noun,yes,yes,yes,no,no,no,ópera,ópera,ópera,ópera,NA,opera,opera,1,1,1,2261,25.194851701163962,5,4,0.00964385699039603,6883,7.901348031963616,11.07142857,2
opportunity,noun,yes,yes,yes,no,no,no,oportunidade,oportunidad,oportunidade,oportunidad,NA,oportunidade,oportunidad,0.62,0.67,0.86,9475,105.5821405875845,11,42366,102.14291131377955,71601,82.19445306358084,53.03571429,4.4
original,noun,yes,yes,yes,no,no,no,original,original,original,original ,NA,original,original,1,1,1,10895,121.40553263342831,8,36090,87.01169969584818,64936,74.54335839075831,40.53571429,2.55
palace,noun,yes,yes,yes,no,no,no,palácio,palacio,palácio,palacio,NA,palacio,palacio,0.67,0.67,1,4890,54.490413453645196,6,14,0.0337534994663861,6801,7.8072160344885315,50.71428571,1.85
panic,noun,yes,yes,yes,no,no,no,pânico,pánico,pânico,pánico ,NA,panico,panico,0.75,0.75,1,1986,22.130462396511117,5,13,0.0313425352187871,7343,8.429405578775075,21.25,1.9
panorama,noun,yes,yes,yes,no,no,no,panorama,panorama,panorama,panorama,NA,panorama,panorama,1,1,1,216,2.4069385083818737,8,NA,NA,10771,12.364582253709155,26.42857143,3.45
paradise,noun,yes,yes,yes,no,no,no,paraíso,paraíso,paraíso,paraíso,NA,paraiso,paraiso,0.72,0.72,1,979,10.90922592456414,8,9,0.021698678228391065,6070,6.968063715533802,28.75,2.7
park,noun,yes,yes,yes,no,no,no,parque,parque,parque,parque,NA,parque,parque,0.5,0.5,1,10500,117.0039552685633,4,30187,72.77977774227124,26296,30.18652445859586,35.53571429,1.2
part,noun,yes,yes,yes,no,no,no,parte,parte,parte,parte,NA,parte,parte,0.71,0.71,1,46714,520.5450253729206,4,194295,468.43829848724914,575431,660.5667004766608,604.8214286,1
pastor,noun,yes,yes,yes,no,no,no,pastor,pastor,pastor,pastor,NA,pastor,pastor,1,1,1,249,2.7746652249402155,6,22,0.05304121344717816,6591,7.566146284857213,9.821428571,1.9
patience,noun,yes,yes,yes,no,no,no,paciência,paciencia,paciência,paciencia ,NA,paciencia,paciencia,0.55,0.55,1,1153,12.84814861187176,8,5,0.012054821237995037,12389,14.221967277059022,28.75,2.85
patio,noun,yes,yes,yes,no,no,no,pátio,patio,pátio,patio,NA,patio,patio,1,1,1,391,4.357004429524595,5,2854,6.880891962647567,6867,7.882980812944089,48.39285714,1.95
perfume,noun,yes,yes,yes,no,no,no,perfume,perfume,perfume,perfume,NA,perfume,perfume,1,1,1,536,5.97277333561428,7,2847,6.864015212914374,2580,2.9617140668990456,18.39285714,2.6
photo,noun,yes,yes,yes,no,no,no,foto,foto,foto,foto,NA,foto,foto,0.67,0.67,1,1126,12.547281298324027,5,16087,38.78518185112523,34489,39.591688547783406,36.25,1.9
planet,noun,yes,yes,yes,no,no,no,planeta,planeta,planeta,planeta,NA,planeta,planeta,0.78,0.78,1,1745,19.444943042251708,6,18761,45.23210024920498,22131,25.40530775757472,52.14285714,1.7
plan,noun,yes,yes,yes,no,no,no,plano,plan,plano,plan,NA,plano,plan,0.71,1,0.71,13177,146.83439224512938,4,67930,163.77680133940058,128428,147.42907526500414,63.75,1.5
plant,noun,yes,yes,yes,no,no,no,planta,planta,planta,planta,NA,planta,planta,0.75,0.75,1,7818,87.11780212282169,5,34691,83.63876071345716,51441,59.05175709897435,38.39285714,1.55
plaza,noun,yes,yes,yes,no,no,no,praça,plaza,praça,plaza,NA,praca,plaza,0.71,1,0.71,173,1.9277794534725192,5,NA,NA,24392,28.00082539527191,97.67857143,1.95
pretension,noun,yes,yes,yes,no,no,no,pretensão,pretensión,pretensão,pretensión ,NA,pretensao,pretension,0.82,1,0.82,72,0.8023128361272912,10,239,0.5762204551761627,10905,12.51840771299771,15,2.75
propaganda,noun,yes,yes,yes,no,no,no,propaganda,propaganda,propaganda,propaganda ,"In Portuguese and LatAm Spanish, it can also mean advertising",propaganda,propaganda,1,1,1,1116,12.435848959973015,10,NA,NA,29758,34.160731473946434,17.32142857,4.45
protector,noun,yes,yes,yes,no,no,no,protetor,protector,protetor,protector ,NA,protetor,protector,0.92,1,0.92,344,3.8332724392748356,9,1070,2.579731744930938,5468,6.276997099924024,5.178571429,2.45
radical,noun/adjective,yes,yes,yes,no,no,no,radical,radical,radical,radical ,NA,radical,radical,1,1,1,3948,43.993487180979805,7,11386,27.451238923162297,22406,25.720994334472877,30.89285714,2.55
radio,noun,yes,yes,yes,no,no,no,rádio,radio,rádio,radio,NA,radio,radio,1,1,1,8097,90.22676436281496,5,43484,104.83836934259524,36036,41.36756903673411,83.21428571,1.85
ranch,noun,yes,yes,yes,no,no,no,rancho ,rancho,rancho,rancho,NA,rancho ,rancho,0.75,0.75,NA,128,1.4263339308929623,5,NA,NA,NA,NA,6.25,1.9
reality,noun,yes,yes,yes,no,no,no,realidade,realidad,realidade,realidad,NA,realidade,realidad,0.55,0.6,0.82,6275,69.92379231526046,7,35647,85.94364253416181,175786,201.79374766043242,210.5357143,2.4
region,noun,yes,yes,yes,no,no,no,região,región,região,región,NA,regiao,region,0.72,1,0.72,8961,99.85451839634247,6,41027,98.91463018624448,379154,435.25028500815534,44.28571429,1.9
religion,noun,yes,yes,yes,no,no,no,religião,religión,religião,religión ,NA,religiao,religion,0.77,1,0.77,4192,46.71243623674451,8,25294,60.98292967876929,30401,34.898864088293756,49.82142857,2.7
reunion,noun,yes,yes,yes,no,no,no,reunião,reunión,reunião,reunión ,NA,reuniao,reunion,0.75,1,0.75,541,6.0284895047897855,7,62,0.14947978335113846,88393,101.4708494245765,60.35714286,2.7
revision,noun,yes,yes,yes,no,no,no,revisão,revisión,revisão,revisión ,NA,revisao,revision,0.78,1,0.78,1046,11.655822591515925,8,2482,5.984013262540736,142605,163.7035792674955,11.96428571,2.1
ritual,noun,yes,yes,yes,no,no,no,ritual,ritual,ritual,ritual,NA,ritual,ritual,1,1,1,1433,15.968254085700115,6,17,0.040986392209183126,11347,13.0258021384122,18.21428571,2.5
savor,verb,yes,yes,yes,no,no,no,sabor,sabor,sabor,sabor ,NA,sabor,sabor,0.86,0.86,1,3,0.0334297015053038,5,358,0.8631252006404446,12471,14.316099274534109,24.46428571,1.8
salary,noun,yes,yes,yes,no,no,no,salário,salario,salário,salario ,NA,salario,salario,0.67,0.67,1,1728,19.255508067054986,6,NA,NA,72325,83.02556972421452,12.14285714,2
series,noun,yes,yes,yes,no,no,no,série,serie,série,serie ,NA,serie,serie,0.86,0.86,1,13995,155.94955752224223,6,56973,137.35986607845825,168609,193.55490197898496,100.7142857,1.95
sofa,noun,yes,yes,yes,no,no,no,sofá,sofá,sofá,sofá,NA,sofa,sofa,1,1,1,987,10.99837179524495,4,NA,NA,2392,2.7458992434195806,17.67857143,1.8
subversion,noun,yes,yes,yes,no,no,no,subversão,subversión,subversão ,subversión ,NA,subversao,subversion,0.82,1,0.82,228,2.540657314403089,10,NA,NA,2681,3.0776571369598225,3.214285714,3.05
taxi,noun,yes,yes,yes,no,no,no,táxi,taxi,táxi,taxi ,NA,taxi,taxi,1,1,1,1736,19.3446539377358,4,NA,NA,3978,4.566549828730389,22.5,1.85
television,noun,yes,yes,yes,no,no,no,televisão,televisión,televisão,televisión ,NA,televisao,television,0.82,1,0.82,9197,102.48432158142634,10,50345,121.37999504537203,47625,54.67117536281669,146.7857143,3.7
terror,noun,yes,yes,yes,no,no,no,terror,terror,terror,terror,NA,terror,terror,1,1,1,1483,16.52541577745518,6,12672,30.55173894557462,7697,8.835780299582153,35.17857143,2.5
total,adjective/noun,yes,yes,yes,no,no,no,total,total,total,total ,NA,total,total,1,1,1,16629,185.30083544389896,5,55030,132.6753625453734,292136,335.3578684680696,134.6428571,1.9
transit,noun,yes,yes,yes,no,no,no,trânsito,tránsito,trânsito,tránsito,NA,transito,transito,0.8,0.8,1,852,9.494035227506279,7,76,0.18323328281752455,34498,39.602020108481895,12.14285714,2.6
uniform,noun,yes,yes,yes,no,no,no,uniforme,uniforme,uniforme,uniforme,NA,uniforme,uniforme,0.8,0.8,1,2452,27.323209363668305,7,NA,NA,14245,16.352564683324385,33.57142857,2.65
union,noun,yes,yes,yes,no,no,no,união,unión,união,unión ,NA,uniao,union,0.68,1,0.68,16183,180.3309531534438,5,25309,61.01909414248328,26954,30.941876340773984,29.46428571,1.75
universe,noun,yes,yes,yes,no,no,no,universo,universo,universo,universo ,NA,universo,universo,0.8,0.8,1,2555,28.470962448683736,8,16527,39.84600612006879,43824,50.307812894489835,52.14285714,2.8
university,noun,yes,yes,yes,no,no,no,universidade,universidad,universidade,universidad,NA,universidade,universidad,0.64,0.69,0.86,15706,175.0156306141005,10,41025,98.90980825774928,50332,57.778679230683245,42.85714286,3.35
vegetable,noun,yes,yes,yes,no,no,no,vegetal,vegetal,vegetal,vegetal,NA,vegetal,vegetal,0.86,0.86,1,929,10.352064232809077,9,7478,18.029190643545377,18481,21.215285918744677,9.285714286,2.9
velocity,noun,yes,yes,yes,no,no,no,velocidade,velocidad,velocidade,velocidad,NA,velocidade,velocidad,0.58,0.64,0.83,828,9.22659761546385,8,2847,6.864015212914374,67194,77.13543217488935,78.57142857,3.05
version,noun,yes,yes,yes,no,no,no,versão,versión,versão,versión ,NA,versao,version,0.75,1,0.75,7865,87.64153411307146,7,28604,68.96322133832201,71122,81.6445844441837,39.46428571,2
violin,noun,yes,yes,yes,no,no,no,violino,violín,violino,violín,False cognate in portuguese: violão,violino,violin,0.78,1,0.78,530,5.905913932603672,6,2662,6.417986827108558,1901,2.1822552097577854,5.178571429,2.65
advertising,noun,yes,yes,yes,yes,yes,no,advertência,advertencia,propaganda/publicidade,publicidad,NA,advertencia,advertencia,0.62,0.62,1,4042,45.04095116147932,11,12984,31.303959790825512,4654,5.342564832305488,10.71428571,3.6
dance,verb/noun,no,no,no,no,no,no,dança,danza,dança,danza/baile,NA,danca,danza,NA,NA,NA,4117,45.87669369911191,5,19161,46.19648594824458,20489,23.520371905695562,12.85714286,1.65
jug,noun,no,no,no,yes,yes,yes,jugo,jugo,jarra,jarra,jugo is a false cognate in portuguese/spanish too,jugo,jugo,0.67,0.67,1,485,5.404468410024114,3,NA,NA,1242,1.425755376390936,9.642857143,1.5
jar,noun,no,no,no,yes,yes,no,jarra,jarra,frasco,frasco,NA,jarra,jarra,0.57,0.57,NA,567,6.318213584502418,3,33,0.07956182017076724,331,0.37997184346650553,3.928571429,1.2
vial,noun,no,yes,no,no,no,no,via,vial,frasco,vial,vial can also be a road or something referring to roads in Spanish (administración vial),via,vial,NA,1,NA,158,1.760630945946,4,NA,NA,112038,128.61415528187416,NA,1.8
sob,noun/verb,no,no,yes,yes,no,no,sob,sobre,soluçar,sollozar,NA,sob,sobre,1,NA,0.8,233,2.596373483578595,3,81,0.1952881040555196,257979,296.1472997149415,1458.75,1.15
leopard,noun,yes,yes,yes,no,no,no,leopardo,leopardo,leopardo,leopardo,NA,leopardo,leopardo,0.8,0.8,1,237,2.6409464189190004,7,NA,NA,200,0.22959023774411208,0.535714286,2.65
hippopotamus,noun,yes,yes,yes,no,no,no,hipopótamo,hipopótamo,hipopótamo,hipopótamo,NA,hipopotamo,hipopotamo,0.79,0.79,1,36,0.4011564180636456,12,NA,NA,159,0.1825242390065691,0.535714286,6.7
group,noun,yes,yes,yes,no,no,no,grupo,grupo,grupo,grupo,NA,grupo,grupo,0.68,0.68,1,38953,434.0623875786996,5,7,0.01687674973319305,456304,523.8147192179466,226.9642857,1.9
problem,noun,yes,yes,yes,no,no,no,problema,problema,problema,problema,NA,problema,problema,0.8,0.8,1,25388,282.90442060555097,7,126428,304.8133878954473,238762,274.08712172129844,210,2.65
human,noun,yes,yes,yes,no ,no,no,humano,humano,humano,humano,NA,humano,humano,0.75,0.75,1,18987,211.57658082706774,5,106151,255.92626584688225,96804,111.12626687290513,134.1071429,1.9
information,noun,yes,yes,yes,no,no,no,informação,información,informação,información,NA,informacao,informacion,0.75,0.92,0.83,36522,406.97318612556853,11,132976,320.60038178872566,154888,177.80386371855016,133.0357143,2.65
moment,noun,yes,yes,yes,no,no,no,momento,momento,momento,momento,NA,momento,momento,0.78,0.78,1,19189,213.8275140617582,6,111,0.2676170314834898,284494,326.5852254838671,474.4642857,1.95
list,noun,yes,yes,yes,no,no,no,lista,lista,listas,listas,NA,lista,lista,0.71,0.71,1,11486,127.99118382997314,4,47369,114.20496544451738,62761,72.04656455529108,64.46428571,1.3
mortal,noun/adjective,yes,yes,yes,no,no,no,mortal,mortal,mortal,mortal,NA,mortal,mortal,1,1,1,485,5.404468410024115,6,1718,4.1420365773750945,3622,4.1578792055458695,20.35714286,1.8
exam,noun,yes,yes,yes,no,no,no,exame,examen,exame,examen,NA,exame,examen,0.71,0.62,0.86,540,6.017346270954684,4,6,0.014465785485594044,80866,92.83022082707684,25.35714286,2
computer,noun,yes,yes,yes,yes,no,no,computador,computadora,computador,ordenador,both 'computadora' and ordenador are possible as translation into Spanish,computador,computadora,0.69,0.56,0.92,12964,144.46088343825284,8,53452,128.87086096266214,42352,48.61802874469317,5.357142857,2.1
apartment,noun,yes,yes,yes,no,no,no,apartamento,apartamento,apartamento,apartamento,NA,apartamento,apartamento,0.68,0.68,1,1280,14.26333930892962,9,27709,66.80540833672089,15741,18.069899661650343,14.46428571,2.85
animal,noun,yes,yes,yes,no,no,no,animal,animal,animal,animal,NA,animal,animal,1,1,1,6478,72.185868783786,6,25249,60.87443628762734,61824,70.97093429145993,73.03571429,2.45
movement,noun,yes,yes,yes,no,no,no,movimento,movimiento,movimento,movimiento,NA,movimento,movimiento,0.66,0.54,0.9,13006,144.9288992593271,8,46323,111.68309684152882,164177,188.46718231057542,119.2857143,2.75
metabolism,noun,yes,yes,yes,no,no,no,metabolismo,metabolismo,metabolismo,metabolismo,NA,metabolismo,metabolismo,0.85,0.85,1,489,5.4490413453645195,10,1745,4.207132612060268,13237,15.195429885094057,5.714285714,3.7
equipment,noun,yes,no,no,no,yes,yes,equipamento,equipo,equipamento,equipo,NA,equipamento,equipo,0.68,0.75,0.54,8531,95.0629278472489,9,29019,69.9637715010756,29817,34.22846059408095,203.5714286,3.65
department,noun,yes,yes,yes,no,no,no,departamento,departamento,departamento,departamento,NA,departamento,departamento,0.71,0.71,1,16767,186.83860171314294,10,41047,98.96284947119646,47642,54.69069053302494,34.82142857,2.8
crocodile,noun,yes,yes,yes,no,no,no,crocodilo,cocodrilo,crocodilo,cocodrilo,NA,crocodilo,cocodrilo,0.82,0.65,0.81,233,2.5963734835785948,9,NA,NA,487,0.5590522289069129,3.214285714,4
calendar,noun,yes,yes,yes,no,no,no,calendário,calendario,calendário,calendario,NA,calendario,calendario,0.75,0.75,1,1036,11.544390253164913,8,6,0.014465785485594044,11459,13.154372671548902,14.10714286,3.15
auditorium,noun,yes,yes,yes,no,no,no,auditório,auditorio,auditório,auditorio,NA,auditorio,auditorio,0.82,0.82,1,201,2.2397900008553546,10,NA,NA,9309,10.686277615799696,3.928571429,4.35
activities,noun,yes,no,yes,no,no,no,atividades,actvidades,atividades,ocupaciones,NA,atividades,actvidades,0.68,NA,0.89,11292,125.82939646596351,10,45085,108.69832310300124,270812,310.8789573197924,NA,3.35
access,noun,yes,yes,yes,no,no,no,acesso,acceso,acesso,acceso,NA,acesso,acceso,0.72,0.75,0.84,10364,115.48847546698954,6,37059,89.34792405177161,152814,175.4230129531437,47.32142857,2
academic,noun,yes,yes,yes,no,no,no,acadêmico,académico,acadêmico,académico,NA,academico,academico,0.82,0.82,1,4762,53.06407952275224,8,30218,72.85451763394681,18293,20.99947109526521,7.142857143,3.3
language,noun,no,no,no,no,yes,no,linguagem,lenguaje,idioma,"lengua, idioma",NA,linguagem,lenguaje,NA,0.8,NA,17960,200.13247967841875,8,52047,125.48345619478553,98640,113.23390525539608,82.32142857,3.05
electricity,noun,yes,yes,yes,no,no,no,eletricidade,electricidad,eletricidade,electricidad,NA,eletricidade,electricidad,0.53,0.71,0.75,3476,38.733880810812,11,12443,29.99962813287445,7169,8.229662071937698,17.32142857,3.65
effects,noun,yes,yes,yes,no,no,no,efeito,efecto,efeito,efecto,NA,efeito,efecto,0.59,0.72,0.88,10478,116.75880412419107,7,41608,100.3154004140995,180452,207.15008790700256,89.64285714,2.45
dissertation,noun,yes,yes,yes,no,no,no,dissertação,disertación,dissertação,disertación,NA,dissertacao,disertacion,0.77,0.88,0.71,275,3.064389304652848,12,NA,NA,24323,27.921616763250192,0.892857143,3.65
dictionary,noun,yes,yes,yes,no,no,no,dicionário,diccionario,dicionário,diccionario,NA,dicionario,diccionario,0.68,0.69,0.93,1607,17.907176773007738,10,NA,NA,9102,10.44865171973454,9.642857143,3.55
competition,noun,yes,yes,yes,no,no,no,competição,competición,competição,competencia,competición in Spanish refers to an event,competicao,competicion,0.75,0.92,0.83,8976,100.02166690386898,11,28004,67.5166427897626,46766,53.68508529170573,24.64285714,3
