sentence_nr;word_nr;word;word_no_pct
79;3;misremembered;misremembered
79;4;his;his
79;5;password;password
79;6;and;and
79;7;could;could
79;8;not;not
79;9;log;log
79;10;on.;on
80;1;The;The
80;2;Christmas;Christmas
80;3;rush;rush
80;4;meant;meant
80;5;increased;increased
80;6;overtime;overtime
80;7;payments;payments
80;8;to;to
80;9;the;the
80;10;workers.;workers
81;1;From;From
81;2;the;the
81;3;plane;plane
81;4;they;they
81;5;saw;saw
81;6;the;the
81;7;icecap;icecap
81;8;many;many
81;9;meters;meters
81;10;below.;below
82;1;The;The
82;2;man;man
82;3;knew;knew
82;4;his;his
82;5;powerful;powerful
82;6;backhand;backhand
82;7;was;was
82;8;his;his
82;9;best;best
82;10;shot.;shot
83;1;Tensions;Tensions
83;2;in;in
83;3;the;the
83;4;city;city
83;5;caused;caused
83;6;a;a
83;7;backlash;backlash
83;8;against;against
83;9;the;the
83;10;police.;police
84;1;The;The
84;2;children;children
84;3;enjoyed;enjoyed
84;4;the;the
84;5;playtime;playtime
84;6;because;because
84;7;the;the
84;8;sun;sun
84;9;was;was
84;10;shining.;shining
85;1;The;The
85;2;new;new
85;3;car;car
85;4;impressed;impressed
85;5;everyone;everyone
85;6;in;in
85;7;the;the
85;8;showroom;showroom
85;9;this;this
85;10;weekend.;weekend
86;1;The;The
86;2;child;child
86;3;put;put
86;4;the;the
86;5;battered;battered
86;6;workbook;workbook
86;7;into;into
86;8;his;his
86;9;schoolbag.;schoolbag
87;1;After;After
87;2;dark,;dark
87;3;the;the
87;4;tripwire;tripwire
87;5;caught;caught
87;6;a;a
87;7;prisoner;prisoner
87;8;trying;trying
87;9;to;to
87;10;escape.;escape
88;1;The;The
88;2;teenager;teenager
88;3;thought;thought
88;4;that;that
88;5;the;the
88;6;romantic;romantic
88;7;keepsake;keepsake
88;8;was;was
88;9;wonderful.;wonderful
89;1;The;The
89;2;student;student
89;3;needed;needed
89;4;a;a
89;5;new;new
89;6;backpack;backpack
89;7;for;for
89;8;the;the
89;9;school;school
89;10;year.;year
90;1;The;The
90;2;loud;loud
90;3;backfire;backfire
90;4;from;from
90;5;the;the
90;6;truck;truck
90;7;sounded;sounded
90;8;like;like
90;9;a;a
90;10;gunshot.;gunshot
91;1;After;After
91;2;he;he
91;3;painted;painted
91;4;the;the
91;5;front,;front
91;6;the;the
91;7;house's;house
91;8;backside;backside
91;9;was;was
91;10;next.;next
92;1;The;The
92;2;professional;professional
92;3;tennis;tennis
92;4;player;player
92;5;had;had
92;6;strong;strong
92;7;backspin;backspin
92;8;on;on
92;9;his;his
92;10;serves.;serves
93;1;The;The
93;2;banquet;banquet
93;3;dinner;dinner
93;4;in;in
93;5;the;the
93;6;ballroom;ballroom
93;7;was;was
93;8;a;a
93;9;fantastic;fantastic
93;10;success.;success
94;1;Working;Working
94;2;in;in
94;3;a;a
94;4;barnyard;barnyard
94;5;did;did
94;6;not;not
94;7;excuse;excuse
94;8;his;his
94;9;poor;poor
94;10;etiquette.;etiquette
95;1;Despite;Despite
95;2;bursts;bursts
95;3;of;of
95;4;action,;action
95;5;baseball;baseball
95;6;is;is
95;7;generally;generally
95;8;a;a
95;9;slow;slow
95;10;sport.;sport
96;1;In;In
96;2;the;the
96;3;remodel;remodel
96;4;budget,;budget
96;5;the;the
96;6;bathroom;bathroom
96;7;received;received
96;8;the;the
96;9;smallest;smallest
96;10;amount.;amount
97;1;Watching;Watching
97;2;the;the
97;3;train,;train
97;4;she;she
97;5;noticed;noticed
97;6;every;every
97;7;boxcar;boxcar
97;8;was;was
97;9;heavily;heavily
97;10;graffitied.;graffitied
98;1;Her;Her
98;2;voice;voice
98;3;resembled;resembled
98;4;that;that
98;5;of;of
98;6;a;a
98;7;bullfrog;bullfrog
98;8;during;during
98;9;her;her
98;10;illness.;illness
99;1;They;They
99;2;fried;fried
99;3;the;the
99;4;excellent;excellent
99;5;crawfish;crawfish
99;6;they;they
99;7;had;had
99;8;caught.;caught
100;1;After;After
100;2;refusing;refusing
100;3;to;to
100;4;pay;pay
100;5;alimony,;alimony
100;6;the;the
100;7;deadbeat;deadbeat
100;8;dad;dad
100;9;was;was
100;10;sued.;sued
101;1;She;She
101;2;found;found
101;3;the;the
101;4;perfect;perfect
101;5;doorknob;doorknob
101;6;for;for
101;7;the;the
101;8;new;new
101;9;door.;door
102;1;The;The
102;2;news;news
102;3;predicted;predicted
102;4;overcast;overcast
102;5;skies;skies
102;6;for;for
102;7;the;the
102;8;week.;week
103;1;Bad;Bad
103;2;grades;grades
103;3;caused;caused
103;4;the;the
103;5;downfall;downfall
103;6;of;of
103;7;the;the
103;8;student's;student
103;9;academic;academic
103;10;career.;career
104;1;She;She
104;2;was;was
104;3;much;much
104;4;better;better
104;5;at;at
104;6;downhill;downhill
104;7;skiing;skiing
104;8;than;than
104;9;her;her
104;10;brother.;brother
105;1;The;The
105;2;storm;storm
105;3;brought;brought
105;4;days;days
105;5;of;of
105;6;downpour;downpour
105;7;to;to
105;8;the;the
105;9;dry;dry
105;10;city.;city
106;1;Looking;Looking
106;2;for;for
106;3;parking;parking
106;4;downtown;downtown
106;5;is;is
106;6;never;never
106;7;easy.;easy
107;1;The;The
107;2;steep;steep
107;3;downward;downward
107;4;slope;slope
107;5;lead;lead
107;6;to;to
107;7;the;the
107;8;ocean.;ocean
108;1;The;The
108;2;hotel;hotel
108;3;room;room
108;4;was;was
108;5;downwind;downwind
108;6;of;of
108;7;the;the
108;8;smelly;smelly
108;9;garbage;garbage
108;10;cans.;cans
109;1;His;His
109;2;lack;lack
109;3;of;of
109;4;ambition;ambition
109;5;was;was
109;6;a;a
109;7;drawback;drawback
109;8;to;to
109;9;his;his
109;10;personality.;personality
110;1;The;The
110;2;girl;girl
110;3;cleaned;cleaned
110;4;out;out
110;5;her;her
110;6;earwax;earwax
110;7;on;on
110;8;a;a
110;9;daily;daily
110;10;basis.;basis
111;1;Startled,;Startled
111;2;the;the
111;3;boy;boy
111;4;realized;realized
111;5;an;an
111;6;earwig;earwig
111;7;was;was
111;8;tickling;tickling
111;9;him.;him
112;1;The;The
112;2;compass;compass
112;3;directed;directed
112;4;the;the
112;5;group;group
112;6;eastward;eastward
112;7;into;into
112;8;the;the
112;9;dense;dense
112;10;forest.;forest
113;1;The;The
113;2;boy;boy
113;3;said;said
113;4;his;his
113;5;last;last
113;6;farewell;farewell
113;7;to;to
113;8;his;his
113;9;girlfriend.;girlfriend
114;1;She;She
114;2;got;got
114;3;poor;poor
114;4;feedback;feedback
114;5;on;on
114;6;her;her
114;7;rough;rough
114;8;draft.;draft
115;1;The;The
115;2;burning;burning
115;3;building;building
115;4;was;was
115;5;like;like
115;6;a;a
115;7;fireball;fireball
115;8;against;against
115;9;the;the
115;10;sky.;sky
116;1;The;The
116;2;couple;couple
116;3;first;first
116;4;kissed;kissed
116;5;by;by
116;6;the;the
116;7;fireside;fireside
116;8;at;at
116;9;summer;summer
116;10;camp.;camp
117;1;His;His
117;2;chores;chores
117;3;included;included
117;4;chopping;chopping
117;5;firewood;firewood
117;6;for;for
117;7;the;the
117;8;long;long
117;9;winter;winter
117;10;ahead.;ahead
118;1;Living;Living
118;2;in;in
118;3;a;a
118;4;fishbowl;fishbowl
118;5;was;was
118;6;too;too
118;7;cramped;cramped
118;8;for;for
118;9;the;the
118;10;fish.;fish
119;1;Jack;Jack
119;2;took;took
119;3;the;the
119;4;fishhook;fishhook
119;5;out;out
119;6;of;of
119;7;the;the
119;8;salmon's;salmon
119;9;mouth.;mouth
120;1;The;The
120;2;young;young
120;3;kids;kids
120;4;used;used
120;5;the;the
120;6;flagpole;flagpole
120;7;to;to
120;8;play;play
120;9;tetherball.;tetherball
121;1;The;The
121;2;company's;company
121;3;flagship;flagship
121;4;store;store
121;5;was;was
121;6;located;located
121;7;in;in
121;8;London.;London
122;1;The;The
122;2;girl;girl
122;3;always;always
122;4;used;used
122;5;a;a
122;6;flatiron;flatiron
122;7;to;to
122;8;straighten;straighten
122;9;her;her
122;10;curls.;curls
123;1;The;The
123;2;bride;bride
123;3;registered;registered
123;4;new;new
123;5;flatware;flatware
123;6;as;as
123;7;her;her
123;8;most;most
123;9;desired;desired
123;10;gift.;gift
124;1;To;To
124;2;the;the
124;3;boy,;boy
124;4;football;football
124;5;was;was
124;6;the;the
124;7;most;most
124;8;important;important
124;9;sport.;sport
125;1;The;The
125;2;climbing;climbing
125;3;rock;rock
125;4;didn't;didn't
125;5;have;have
125;6;a;a
125;7;foothold;foothold
125;8;within;within
125;9;reach.;reach
126;1;The;The
126;2;family;family
126;3;added;added
126;4;a;a
126;5;footpath;footpath
126;6;in;in
126;7;the;the
126;8;garden.;garden
127;1;The;The
127;2;boy;boy
127;3;couldn't;couldn't
127;4;reach;reach
127;5;the;the
127;6;footrest;footrest
127;7;on;on
127;8;the;the
127;9;seat.;seat
128;1;The;The
128;2;house;house
128;3;was;was
128;4;so;so
128;5;quiet;quiet
128;6;a;a
128;7;footstep;footstep
128;8;sounded;sounded
128;9;like;like
128;10;thunder.;thunder
129;1;The;The
129;2;dance;dance
129;3;required;required
129;4;very;very
129;5;difficult;difficult
129;6;footwork;footwork
129;7;for;for
129;8;the;the
129;9;woman.;woman
130;1;She;She
130;2;relied;relied
130;3;on;on
130;4;the;the
130;5;forecast;forecast
130;6;to;to
130;7;know;know
130;8;how;how
130;9;to;to
130;10;dress.;dress
131;1;She;She
131;2;considered;considered
131;3;adding;adding
131;4;the;the
131;5;foreword;foreword
131;6;to;to
131;7;the;the
131;8;reading;reading
131;9;assignments.;assignments
132;1;The;The
132;2;girls;girls
132;3;went;went
132;4;as;as
132;5;a;a
132;6;foursome;foursome
132;7;to;to
132;8;every;every
132;9;dance.;dance
133;1;To;To
133;2;the;the
133;3;boy,;boy
133;4;turning;turning
133;5;fourteen;fourteen
133;6;wasn't;wasn't
133;7;very;very
133;8;exciting.;exciting
134;1;The;The
134;2;art;art
134;3;teacher;teacher
134;4;was;was
134;5;impressed;impressed
134;6;with;with
134;7;the;the
134;8;freehand;freehand
134;9;sketch.;sketch
135;1;After;After
135;2;running;running
135;3;sprints;sprints
135;4;the;the
135;5;fullback;fullback
135;6;realized;realized
135;7;he;he
135;8;needed;needed
135;9;more;more
135;10;practice.;practice
136;1;The;The
136;2;boy;boy
136;3;found;found
136;4;a;a
136;5;glowworm;glowworm
136;6;in;in
136;7;the;the
136;8;dirt.;dirt
137;1;The;The
137;2;parents;parents
137;3;decided;decided
137;4;a;a
137;5;goldfish;goldfish
137;6;would;would
137;7;be;be
137;8;a;a
137;9;great;great
137;10;pet.;pet
138;1;At;At
138;2;the;the
138;3;shooting;shooting
138;4;range;range
138;5;the;the
138;6;gunman;gunman
138;7;was;was
138;8;well;well
138;9;known.;known
139;1;The;The
139;2;man's;man
139;3;receding;receding
139;4;hairline;hairline
139;5;made;made
139;6;him;him
139;7;very;very
139;8;self-conscious.;self-conscious
140;1;The;The
140;2;quarterback;quarterback
140;3;knew;knew
140;4;his;his
140;5;halfback;halfback
140;6;would;would
140;7;be;be
140;8;open.;open
141;1;Because;Because
141;2;the;the
141;3;handbook;handbook
141;4;provided;provided
141;5;no;no
141;6;answers;answers
141;7;he;he
141;8;gave;gave
141;9;up.;up
142;1;She;She
142;2;knew;knew
142;3;that;that
142;4;handmade;handmade
142;5;gifts;gifts
142;6;make;make
142;7;the;the
142;8;most;most
142;9;sincere;sincere
142;10;presents.;presents
143;1;She;She
143;2;would;would
143;3;go;go
143;4;the;the
143;5;farm;farm
143;6;and;and
143;7;handpick;handpick
143;8;the;the
143;9;produce;produce
143;10;herself.;herself
144;1;He;He
144;2;finally;finally
144;3;skated;skated
144;4;the;the
144;5;whole;whole
144;6;handrail;handrail
144;7;without;without
144;8;falling.;falling
145;1;He;He
145;2;considered;considered
145;3;himself;himself
145;4;the;the
145;5;most;most
145;6;handsome;handsome
145;7;guy;guy
145;8;at;at
145;9;the;the
145;10;party.;party
146;1;None;None
146;2;of;of
146;3;the;the
146;4;many;many
146;5;hangover;hangover
146;6;remedies;remedies
146;7;seem;seem
146;8;to;to
146;9;really;really
146;10;work.;work
147;1;She;She
147;2;used;used
147;3;a;a
147;4;headband;headband
147;5;to;to
147;6;keep;keep
147;7;her;her
147;8;bangs;bangs
147;9;under;under
147;10;control.;control
148;1;She;She
148;2;wore;wore
148;3;the;the
148;4;heirloom;heirloom
148;5;necklace;necklace
148;6;with;with
148;7;great;great
148;8;caution.;caution
149;1;She;She
149;2;wanted;wanted
149;3;to;to
149;4;live;live
149;5;on;on
149;6;the;the
149;7;hillside;hillside
149;8;overlooking;overlooking
149;9;the;the
149;10;beach.;beach
150;1;The;The
150;2;girl;girl
150;3;was;was
150;4;known;known
150;5;to;to
150;6;overcook;overcook
150;7;everything;everything
150;8;she;she
150;9;made.;made
151;1;The;The
151;2;defendant;defendant
151;3;wished;wished
151;4;the;the
151;5;judge;judge
151;6;would;would
151;7;overturn;overturn
151;8;the;the
151;9;previous;previous
151;10;ruling.;ruling
152;1;He;He
152;2;never;never
152;3;really;really
152;4;understood;understood
152;5;how;how
152;6;anyone;anyone
152;7;could;could
152;8;survive;survive
152;9;without;without
152;10;literature.;literature
153;1;The;The
153;2;dangerous;dangerous
153;3;political;political
153;4;situation;situation
153;5;forced;forced
153;6;many;many
153;7;activists;activists
153;8;to;to
153;9;emigrate.;emigrate
154;1;She;She
154;2;is;is
154;3;the;the
154;4;author;author
154;5;of;of
154;6;several;several
154;7;successful;successful
154;8;biology;biology
154;9;textbooks.;textbooks
